brand,language,count
Airbnb,English,90037
Airbnb,French,8875
Airbnb,Japanese,9219
Airbnb,Others,15516
Airbnb,Spanish,9727
Apple,English,921456
Apple,French,64819
Apple,Japanese,109366
Apple,Others,204696
Apple,Spanish,76439
Coca-Cola,English,38218
Coca-Cola,Italian,5148
Coca-Cola,Japanese,3358
Coca-Cola,Others,14088
Coca-Cola,Spanish,16464
HM,English,49016
HM,Japanese,3144
HM,Korean,9613
HM,Others,11804
HM,Spanish,2013
Nike,Afrikaans,17718
Nike,English,456474
Nike,Japanese,102750
Nike,Others,88210
Nike,Spanish,18522
Starbucks,English,133390
Starbucks,Japanese,34623
Starbucks,Others,22599
Starbucks,Spanish,7382
Starbucks,Swedish,11561
